Key	TCGA-13-1487	TCGA-61-2009	TCGA-23-2077	TCGA-13-1481	TCGA-13-0887	TCGA-13-1494	TCGA-25-1316	TCGA-23-1117	TCGA-24-1616	TCGA-24-1474	TCGA-24-0975	TCGA-25-2404	TCGA-10-0930	TCGA-24-2293	TCGA-24-2035	TCGA-13-0911	TCGA-61-2101	TCGA-25-2409	TCGA-24-2262	TCGA-23-1123	TCGA-13-0890	TCGA-23-1030	TCGA-23-1122	TCGA-24-1469	TCGA-04-1357	TCGA-25-1320	TCGA-24-2281	TCGA-13-0924	TCGA-13-0891	TCGA-20-0987	TCGA-13-1497	TCGA-04-1336	TCGA-09-2056	TCGA-25-1326	TCGA-24-2267	TCGA-10-0933	TCGA-61-2016	TCGA-04-1342	TCGA-13-0724	TCGA-25-2042	TCGA-24-1564	TCGA-09-2050	TCGA-23-1110	TCGA-24-1418	TCGA-13-1412	TCGA-13-0899	TCGA-61-2002	TCGA-13-0723	TCGA-61-1736	TCGA-59-2348	TCGA-24-1427	TCGA-09-2049	TCGA-13-1507	TCGA-13-0804	TCGA-13-1403	TCGA-24-1104	TCGA-13-0751	TCGA-13-1496	TCGA-13-0903	TCGA-13-0791	TCGA-23-1022	TCGA-61-2102	TCGA-25-2398	TCGA-23-1118	TCGA-10-0931	TCGA-24-2260	TCGA-24-1431	TCGA-13-1512	TCGA-61-2110	TCGA-25-1319	TCGA-20-0990	TCGA-13-1491	TCGA-13-1488	TCGA-20-0991	TCGA-24-1434	TCGA-61-2113	TCGA-24-2290	TCGA-24-1416	TCGA-13-1510	TCGA-24-1562	TCGA-24-1417	TCGA-61-1998	TCGA-04-1331	TCGA-25-2392	TCGA-13-0923	TCGA-13-0800	TCGA-24-1423	TCGA-04-1361	TCGA-24-1552	TCGA-04-1347	TCGA-23-2072	TCGA-13-0726	TCGA-04-1332	TCGA-13-1404	TCGA-09-0369	TCGA-04-1362	TCGA-61-2092	TCGA-24-2271	TCGA-13-0916	TCGA-23-2078	TCGA-24-0979	TCGA-09-2044	TCGA-23-1021	TCGA-61-2008	TCGA-25-2408	TCGA-24-0980	TCGA-24-1436	TCGA-13-1484	TCGA-24-1603	TCGA-59-2363	TCGA-24-1419	TCGA-13-0755	TCGA-13-0905	TCGA-13-0912	TCGA-23-1116	TCGA-25-1315	TCGA-10-0934	TCGA-23-1124	TCGA-04-1356	TCGA-13-1405	TCGA-61-1728	TCGA-04-1367	TCGA-23-2081	TCGA-13-0886	TCGA-13-1495	TCGA-13-1504	TCGA-25-2393	TCGA-04-1346	TCGA-13-0884	TCGA-13-1505	TCGA-25-1321	TCGA-24-0970	TCGA-24-1565	TCGA-24-2254	TCGA-24-1464	TCGA-61-2097	TCGA-24-2038	TCGA-13-0760	TCGA-25-2401	TCGA-10-0926	TCGA-59-2355	TCGA-24-2030	TCGA-23-1031	TCGA-23-1032	TCGA-24-1463	TCGA-25-1329	TCGA-25-1313	TCGA-10-0935	TCGA-04-1349	TCGA-24-1425	TCGA-24-1426	TCGA-04-1348	TCGA-57-1993	TCGA-13-1411	TCGA-13-1506	TCGA-23-2079	TCGA-23-1027	TCGA-61-2012	TCGA-61-2003	TCGA-24-1549	TCGA-24-0966	TCGA-13-1498	TCGA-24-1428	TCGA-61-2095	TCGA-13-0883	TCGA-13-0795	TCGA-25-2396	TCGA-13-0910	TCGA-24-1471	TCGA-25-2400	TCGA-13-0894	TCGA-13-1482	TCGA-13-1501	TCGA-04-1343	TCGA-61-2111	TCGA-24-2261	TCGA-09-2045	TCGA-13-0807	TCGA-13-0765	TCGA-24-1103	TCGA-31-1950	TCGA-30-1853	TCGA-13-0904	TCGA-24-1563	TCGA-61-1995	TCGA-25-1322	TCGA-24-1551	TCGA-09-0366	TCGA-24-1435	TCGA-13-0897	TCGA-13-1489	TCGA-13-1483	TCGA-24-1424	TCGA-13-0885	TCGA-59-2354	TCGA-24-1413	TCGA-24-2019	TCGA-25-2399	TCGA-13-0893	TCGA-13-0920	TCGA-24-1470
MSRB1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELMO2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC18A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIT2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
